Year;EU28;World;China;India;Japan;"Russian Federation";"United States of America"
1960;2645.1884;9410.5298;778.9795;120.576;232.4996;889.983;2887.8204
1961;2739.4012;9452.1077;550.9585;130.3929;282.7869;917.8258;2877.3698
1962;2898.2039;9838.2021;439.3421;143.4518;292.8644;963.3179;2984.0017
1963;3096.1111;10379.068;435.5176;154.0682;324.8355;1033.1063;3116.0224
1964;3211.2394;10969.3251;435.7037;150.639;358.8911;1098.7224;3252.7552
1965;3269.236;11466.1502;474.6806;165.9614;386.4712;1165.5583;3388.1927
1966;3324.3221;12045.5559;521.4589;171.6884;419.2451;1230.9175;3559.1792
1967;3359.6221;12431.0094;432.2236;172.0931;489.3074;1287.1255;3693.2982
1968;3545.7508;13063.4496;467.8056;187.1046;561.9126;1323.3053;3828.3061
1969;3768.941;13846.4273;575.9447;190.4004;653.2154;1378.1502;4021.5026
1970;3940.2237;14845.815;770.1672;194.729;767.9631;1449.5706;4325.5008
1971;4031.1005;15409.7176;874.0164;205.3295;796.5444;1538.2421;4351.3087
1972;4145.6879;16023.9908;928.894;217.1819;852.1705;1618.4149;4558.4526
1973;4340.5579;16893.3614;965.6466;223.6023;914.2657;1686.7543;4762.4522
1974;4278.3988;16923.5787;985.0852;231.1847;914.3068;1750.9716;4592.9583
1975;4176.7062;16825.641;1142.1019;251.1933;868.5114;1840.5008;4400.795
1976;4464.2837;17800.9724;1190.9645;262.5318;907.1454;1911.3261;4607.1682
1977;4422.4613;18355.4392;1304.4028;277.6483;933.2387;1976.2968;4735.3663
1978;4555.2832;18561.6989;1455.2575;281.5392;901.5914;2044.1249;4882.964
1979;4724.4993;19594.2288;1487.1131;295.299;953.0729;2061.0096;4894.0429
1980;4619.0847;19388.0944;1458.8867;312.4849;944.8703;2142.0907;4716.7164
1981;4388.2249;18787.1226;1442.7823;337.1052;926.8374;2101.2213;4530.3698
1982;4284.7793;18624.0757;1570.4683;347.8156;897.4097;2140.7791;4301.9707
1983;4241.6611;18549.448;1655.8105;376.6763;880.9115;2171.0891;4335.9166
1984;4254.7596;19216.866;1802.3171;385.9288;937.0721;2190.2891;4468.262
1985;4341.6387;19792.6218;1951.7732;424.256;912.403;2362.1321;4484.3382
1986;4340.9984;20395.9495;2052.242;455.0665;912.2622;2368.15;4487.8558
1987;4382.6172;20912.4135;2191.053;486.0673;902.5328;2467.7245;4680.8341
1988;4338.4472;21681.1093;2347.7635;525.0817;985.4671;2535.2876;4885.5905
1989;4396.9674;22154.3357;2386.885;576.4045;1021.6848;2481.7172;4948.0212
1990;4479.3289;22181.8074;2420.3021;616.5791;1155.2634;2571.2107;5121.2645
1991;4423.0245;22429.3774;2538.924;656.7409;1167.0405;2437.0381;5070.8394
1992;4278.9581;22195.1051;2657.1124;698.7569;1176.9426;1993.2176;5174.0591
1993;4194.9737;22153.1431;2835.7955;722.8943;1170.1967;1890.935;5284.6879
1994;4174.4997;22533.833;3010.2422;764.242;1225.1734;1669.6371;5377.9871
1995;4221.4647;23007.4254;3265.057;811.4608;1237.8528;1640.2632;5439.2133
1996;4325.0739;23522.9791;3408.3466;878.827;1249.8757;1606.949;5626.1867
1997;4235.9323;23915.3294;3414.5493;915.0493;1243.3671;1502.1374;5703.8907
1998;4228.9864;23984.9839;3265.9026;933.5493;1203.7105;1484.8522;5752.3242
1999;4164.1472;23930.5615;3258.1349;995.2331;1239.8401;1512.9847;5832.2502
2000;4187.3341;24558.6911;3349.2948;1029.6378;1262.7345;1499.6162;6000.6061
2001;4259.4002;25137.9997;3426.1441;1035.6407;1248.0874;1538.2444;5902.455
2002;4235.8145;25494.1906;3782.4393;1047.5957;1277.2365;1528.9617;5943.6513
2003;4327.7817;26866.7384;4452.3103;1091.873;1285.3854;1562.4724;5991.3196
2004;4337.9729;28187.5989;5125.8944;1145.5452;1280.0361;1570.8642;6106.6207
2005;4314.6397;29254.9064;5771.1684;1210.1457;1286.8563;1588.6629;6132.0057
2006;4320.4097;30286.8364;6377.748;1287.1492;1262.6395;1648.6587;6052.2363
2007;4274.4088;30880.1453;6861.7507;1390.2535;1300.052;1647.7289;6130.9836
2008;4173.8625;31875.7558;7375.1899;1547.991;1229.2455;1679.7944;5932.7753
2009;3831.8294;31523.143;7758.8118;1720.1206;1160.2036;1572.439;5495.395
2010;3951.2626;33066.6512;8500.5427;1700.0274;1211.5729;1657.5607;5701.0758
2011;3805.9612;34357.3659;9388.1992;1817.1716;1261.3986;1712.4248;5570.7066
2012;3747.2409;34919.2887;9633.8993;1983.7588;1302.0829;1726.0995;5366.7303
2013;3659.2409;35207.886;9796.5272;1997.8786;1314.0696;1665.9886;5519.6126
2014;3490.3832;35505.827;9820.3605;2207.5339;1264.1733;1667.1107;5568.7593
2015;3523.4918;35462.7467;9716.4678;2276.4072;1223.6665;1671.8951;5420.8041
2016;3503.0312;35675.0994;9704.4794;2377.4479;1204.3186;1668.0699;5310.8614
2017;3543.6835;36153.2616;9838.754;2466.7654;1205.0612;1692.7948;5269.5295